Gene stable ID	Source of gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans gene name	Caenorhabditis elegans homology type	Caenorhabditis elegans chromosome/scaffold name	Caenorhabditis elegans chromosome/scaffold start (bp)	Caenorhabditis elegans chromosome/scaffold end (bp)	Gene name	Strand	%id. target Caenorhabditis elegans gene identical to query gene	%id. query gene identical to target Caenorhabditis elegans gene
ENSG00000197217	HGNC Symbol	8	23385783	23457695	WBGene00016380	ntp-1	ortholog_many2many	IV	7792349	7794809	ENTPD4	-1	26.6234	30.2026
ENSG00000197217	HGNC Symbol	8	23385783	23457695	WBGene00003254	mig-23	ortholog_many2many	X	5945821	5948869	ENTPD4	-1	29.7078	33.1522
ENSG00000082515	HGNC Symbol	5	154941070	154969411	WBGene00012645	mrpl-22	ortholog_one2one	III	10615466	10617862	MRPL22	1	27.1845	21.5385
ENSG00000067369	HGNC Symbol	15	43403061	43510728	WBGene00002027	hsr-9	ortholog_one2one	I	9626241	9630848	TP53BP1	-1	11.5832	19.6567
ENSG00000143578	HGNC Symbol	1	153967534	153974363	WBGene00002783	let-607	ortholog_one2many	I	6574004	6585510	CREB3L4	1	23.2911	13.3333
ENSG00000100410	HGNC Symbol	22	41459717	41468725	WBGene00004016	phf-5	ortholog_one2one	III	2343573	2347329	PHF5A	-1	90	90
ENSG00000249209	Clone-based (Ensembl) gene	21	33584687	33931607	WBGene00000230	atp-3	ortholog_one2many	I	5428469	5429908	AP000311.1	-1	29.3388	31.1404
ENSG00000114126	HGNC Symbol	3	141944428	142149544	WBGene00001061	dpl-1	ortholog_one2many	II	9169910	9172565	TFDP2	-1	30.4933	22.7425
ENSG00000116731	HGNC Symbol	1	13700198	13825079	WBGene00011887	set-17	ortholog_one2many	II	8939204	8940488	PRDM2	1	2.61932	16.2455
ENSG00000144744	HGNC Symbol	3	69054730	69080408	WBGene00004341	rfl-1	ortholog_one2one	III	7021167	7023652	UBA3	-1	44.4924	47.907
ENSG00000163159	HGNC Symbol	1	151169987	151195321	WBGene00007645	C17E4.6	ortholog_one2one	I	9422556	9431120	VPS72	-1	28.5333	27.3657
ENSG00000158258	HGNC Symbol	3	139935185	140577397	WBGene00000403	casy-1	ortholog_one2many	II	5945418	5956683	CLSTN2	1	26.7016	25.9146
ENSG00000162494	HGNC Symbol	1	13474977	13514048	WBGene00004854	slt-1	ortholog_one2many	X	14674328	14683326	LRRC38	-1	26.8707	5.60284
ENSG00000138688	HGNC Symbol	4	122152333	122362758	WBGene00003060	lpd-3	ortholog_one2one	I	3565012	3600729	KIAA1109	1	19.1409	23.819
ENSG00000137727	HGNC Symbol	11	110577042	110713189	WBGene00007064	2RSSE.1	ortholog_one2one	II	15268212	15275689	ARHGAP20	-1	7.13686	17.7824
ENSG00000010818	HGNC Symbol	6	142751467	142956698	WBGene00004862	sma-9	ortholog_one2many	X	10769288	10782973	HIVEP2	-1	12.3058	13.4857
ENSG00000177728	HGNC Symbol	17	75441159	75500090	WBGene00017010	D1007.15	ortholog_one2one	I	4557664	4563694	TMEM94	1	19.9122	22.973
ENSG00000135269	HGNC Symbol	7	116210493	116258783	WBGene00015217	tes-1	ortholog_one2many	IV	7449067	7451445	TES	1	34.4418	31.1828
ENSG00000163166	HGNC Symbol	2	127436207	127526886	WBGene00008729	F13B12.1	ortholog_one2one	IV	10422610	10424635	IWS1	-1	24.1758	38.7476
ENSG00000266472	HGNC Symbol	1	150293720	150308979	WBGene00017924	mrps-21	ortholog_one2one	IV	4659049	4659517	MRPS21	1	37.931	29.2035
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00021984	Y59C2A.1	ortholog_many2many	II	2208112	2212863	CPB1	1	31.4149	28.8546
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00020281	T06A4.1	ortholog_many2many	I	770892	776369	CPB1	1	35.7314	24.5875
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00012168	W01A8.6	ortholog_many2many	I	7070649	7074733	CPB1	1	24.4604	26.8421
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00008521	F02D8.4	ortholog_many2many	V	14984893	14987571	CPB1	1	29.976	27.9018
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00011235	suro-1	ortholog_many2many	I	7872057	7875554	CPB1	1	30.9353	19.4277
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00021213	Y18H1A.9	ortholog_many2many	I	748228	757010	CPB1	1	34.2926	29.3033
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00013895	ZC434.9	ortholog_many2many	I	10356251	10360890	CPB1	1	32.8537	19.0278
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00021645	Y47G6A.19	ortholog_many2many	I	3523313	3529956	CPB1	1	36.211	29.8419
ENSG00000153002	HGNC Symbol	3	148791102	148860187	WBGene00020283	T06A4.3	ortholog_many2many	I	763597	770720	CPB1	1	29.4964	24.3564
ENSG00000054983	HGNC Symbol	14	87837820	87993665	WBGene00016207	C29E4.10	ortholog_one2one	III	7937827	7940931	GALC	-1	31.2409	33.1783
ENSG00000161904	HGNC Symbol	6	33771202	33789136	WBGene00002275	lem-2	ortholog_one2many	II	14063450	14066170	LEMD2	-1	16.6998	16.8
ENSG00000179388	HGNC Symbol	8	22687659	22693302	WBGene00007772	egrh-1	ortholog_many2many	X	14845937	14849217	EGR3	-1	31.2661	26.2473
ENSG00000179388	HGNC Symbol	8	22687659	22693302	WBGene00043705	egrh-2	ortholog_many2many	IV	984405	990521	EGR3	-1	25.8398	34.0136
ENSG00000117360	HGNC Symbol	1	150321476	150353195	WBGene00010844	prp-3	ortholog_one2one	III	10424112	10427982	PRPF3	1	34.2606	37.6812
ENSG00000141627	HGNC Symbol	18	49041474	49461347	WBGene00008136	C47D12.2	ortholog_one2one	II	11676306	11679197	DYM	-1	39.3124	38.1713
ENSG00000167107	HGNC Symbol	17	50426158	50474845	WBGene00009221	acs-2	ortholog_one2many	V	15567394	15569889	ACSF2	1	35.7812	37.055
ENSG00000167107	HGNC Symbol	17	50426158	50474845	WBGene00018488	acs-1	ortholog_one2many	V	6524989	6532089	ACSF2	1	39.0625	40.1284
ENSG00000203995	HGNC Symbol	1	52842511	52894998	WBGene00006996	zyg-11	ortholog_one2many	II	8017669	8020785	ZYG11A	1	24.2424	23.0288
ENSG00000100387	HGNC Symbol	22	40951347	40973309	WBGene00004320	rbx-1	ortholog_one2one	V	9689686	9690615	RBX1	1	77.7778	76.3636
ENSG00000230626	Clone-based (Ensembl) gene	7	129126518	129130793	WBGene00003186	mek-2	ortholog_one2many	I	3005403	3013448	AC011005.1	1	48.8889	51.1628
ENSG00000171566	HGNC Symbol	4	154535006	154550435	WBGene00006481	plrg-1	ortholog_one2one	V	10806131	10807973	PLRG1	-1	50.3891	52.4291
ENSG00000110717	HGNC Symbol	11	68030617	68036644	WBGene00020636	T20H4.5	ortholog_one2one	III	7232926	7234202	NDUFS8	1	64.7619	64.1509
ENSG00000145386	HGNC Symbol	4	121816444	121823933	WBGene00000863	cya-1	ortholog_one2many	III	9106702	9109272	CCNA2	-1	25	22.268
ENSG00000111144	HGNC Symbol	12	96000828	96043520	WBGene00022610	ZC416.6	ortholog_one2many	IV	3609218	3613072	LTA4H	-1	46.9722	45.92
ENSG00000111144	HGNC Symbol	12	96000828	96043520	WBGene00016589	C42C1.11	ortholog_one2many	IV	12279659	12281917	LTA4H	-1	44.5172	44.6634
ENSG00000111110	HGNC Symbol	12	62643982	62935037	WBGene00016580	C42C1.2	ortholog_one2many	IV	12265526	12268306	PPM1H	-1	37.1595	35.3704
ENSG00000123737	HGNC Symbol	4	121801317	121817021	WBGene00018154	exos-9	ortholog_one2one	III	7196225	7232172	EXOSC9	1	27.6316	29.0323
ENSG00000060688	HGNC Symbol	1	31259568	31296782	WBGene00008586	snrp-40.1	ortholog_one2many	X	11298036	11299784	SNRNP40	-1	50.7003	54.6828
ENSG00000060688	HGNC Symbol	1	31259568	31296782	WBGene00015974	snrp-40.2	ortholog_one2many	I	4193241	4203303	SNRNP40	-1	49.0196	52.8701
ENSG00000100393	HGNC Symbol	22	41091786	41180079	WBGene00000366	cbp-1	ortholog_many2many	III	9766516	9774825	EP300	1	31.6073	37.8285
ENSG00000100393	HGNC Symbol	22	41091786	41180079	WBGene00010545	cbp-2	ortholog_many2many	III	9923174	9925443	EP300	1	5.88235	44.0994
ENSG00000100393	HGNC Symbol	22	41091786	41180079	WBGene00009595	F40F12.7	ortholog_many2many	III	9914261	9915883	EP300	1	3.52113	42.7136
ENSG00000135931	HGNC Symbol	2	231198546	231374837	WBGene00019128	F59G1.4	ortholog_one2one	II	5896170	5904588	ARMC9	1	14.6699	20.6897
ENSG00000283765	Clone-based (Ensembl) gene	3	183815568	183884889	WBGene00004404	rom-5	ortholog_one2many	I	3217296	3222950	AC131160.1	-1	25.9804	32.6154
ENSG00000185163	HGNC Symbol	12	132136594	132144335	WBGene00022792	ZK686.2	ortholog_one2one	III	7763698	7766052	DDX51	-1	23.4234	26.3069
ENSG00000125733	HGNC Symbol	19	6737925	6751526	WBGene00017298	toca-1	ortholog_many2many	X	1510480	1521487	TRIP10	1	21.6306	21.9595
ENSG00000125733	HGNC Symbol	19	6737925	6751526	WBGene00010663	toca-2	ortholog_many2many	III	13755896	13759434	TRIP10	1	16.8053	16.5574
ENSG00000180938	HGNC Symbol	8	124973298	124979389	WBGene00001324	eor-1	ortholog_one2many	IV	4793202	4799378	ZNF572	1	23.0624	13.4213
ENSG00000175193	HGNC Symbol	3	183829271	183884933	WBGene00004404	rom-5	ortholog_one2many	I	3217296	3222950	PARL	-1	28.496	33.2308
ENSG00000177303	HGNC Symbol	17	75500261	75515583	WBGene00016725	C46H3.2	ortholog_one2many	X	1211760	1230758	CASKIN2	-1	17.5541	22.9348
ENSG00000143374	HGNC Symbol	1	150487364	150507609	WBGene00006617	tars-1	ortholog_one2many	II	11691326	11695657	TARS2	1	46.9359	46.4828
ENSG00000138641	HGNC Symbol	4	88592423	88708542	WBGene00021685	herc-1	ortholog_one2many	I	1211485	1254669	HERC3	1	32.1905	33.1698
ENSG00000141759	HGNC Symbol	18	79970811	80033949	WBGene00235102	Y54G2A.75	ortholog_one2many	IV	2890888	2891636	TXNL4A	-1	86.6197	86.6197
ENSG00000186951	HGNC Symbol	22	46150521	46243756	WBGene00003675	nhr-85	ortholog_one2many	I	13055664	13062122	PPARA	1	18.8034	17.1206
ENSG00000163349	HGNC Symbol	1	113929192	113977869	WBGene00001994	hpk-1	ortholog_one2many	X	4210573	4217290	HIPK1	1	28.595	40.8983
ENSG00000285385	Clone-based (Ensembl) gene	4	88523810	88649847	WBGene00010768	K11D2.1	ortholog_one2one	I	12497467	12505010	AC098582.1	1	3.84615	1.07914
ENSG00000187231	HGNC Symbol	2	179101692	179264790	WBGene00010111	F55D12.2	ortholog_one2one	I	7889310	7894864	SESTD1	-1	20.4023	19.9438
ENSG00000185100	HGNC Symbol	14	104724186	104747325	WBGene00016509	adss-1	ortholog_one2many	V	4818701	4823344	ADSSL1	1	36.6	40.0438
ENSG00000067177	HGNC Symbol	X	72578814	72714319	WBGene00015754	C14B9.8	ortholog_one2many	III	8139610	8144629	PHKA1	-1	39.5748	39.478
ENSG00000140941	HGNC Symbol	16	87383995	87404779	WBGene00002981	lgg-2	ortholog_one2many	IV	10934186	10935914	MAP1LC3B	1	54.4	47.8873
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00010999	R03G8.4	ortholog_many2many	X	13101306	13104205	ANPEP	-1	20.3723	25.0636
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00020465	T12E12.6	ortholog_many2many	IV	5567020	5574133	ANPEP	-1	16.7528	25.273
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00012776	Y42A5A.1	ortholog_many2many	V	11088154	11097970	ANPEP	-1	26.1634	24.2105
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00011803	T16G12.1	ortholog_many2many	III	10040191	10049857	ANPEP	-1	27.5078	14.0741
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00022073	Y67D8C.9	ortholog_many2many	IV	3077466	3086923	ANPEP	-1	25.1293	21.2413
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00007071	AC3.5	ortholog_many2many	V	10388402	10393504	ANPEP	-1	22.6474	20.0917
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00011587	T07F10.1	ortholog_many2many	V	12859381	12863833	ANPEP	-1	28.0248	27.4291
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00011000	R03G8.6	ortholog_many2many	X	13094558	13100445	ANPEP	-1	20.4757	26.506
ENSG00000166825	HGNC Symbol	15	89784889	89815401	WBGene00013166	Y53F4B.20	ortholog_many2many	II	15084476	15089626	ANPEP	-1	13.1334	18.2997
ENSG00000128626	HGNC Symbol	19	38930548	38933162	WBGene00011391	mrps-12	ortholog_one2one	V	20838080	20838768	MRPS12	1	44.2029	38.8535
ENSG00000119688	HGNC Symbol	14	74285423	74303056	WBGene00004062	pmp-5	ortholog_one2many	V	6662191	6665813	ABCD4	-1	32.1782	31.1502
ENSG00000119688	HGNC Symbol	14	74285423	74303056	WBGene00004060	pmp-3	ortholog_one2many	V	14646739	14653464	ABCD4	-1	39.769	35.0291
ENSG00000008283	HGNC Symbol	17	63432304	63446378	WBGene00018209	F39G3.4	ortholog_many2many	V	4724663	4726726	CYB561	-1	11.6279	10.6383
ENSG00000008283	HGNC Symbol	17	63432304	63446378	WBGene00010131	F55H2.5	ortholog_many2many	III	9511470	9513375	CYB561	-1	15.1163	14.6617
ENSG00000008283	HGNC Symbol	17	63432304	63446378	WBGene00018210	F39G3.5	ortholog_many2many	V	4722618	4724621	CYB561	-1	13.9535	14.3426
ENSG00000104835	HGNC Symbol	19	38915266	38930896	WBGene00005662	sars-2	ortholog_one2many	IV	4357631	4359936	SARS2	-1	29.4231	34.6939
ENSG00000122965	HGNC Symbol	12	113816738	113966371	WBGene00004315	rbd-1	ortholog_one2one	IV	12724948	12730095	RBM19	-1	35.2083	38.7615
ENSG00000126698	HGNC Symbol	1	28199456	28233025	WBGene00001048	dnj-30	ortholog_one2one	I	2718027	2721475	DNAJC8	-1	43.083	45.7983
ENSG00000089902	HGNC Symbol	14	102592661	102730576	WBGene00005006	spr-1	ortholog_many2many	V	8126663	8129352	RCOR1	1	18.9691	16.4875
ENSG00000089902	HGNC Symbol	14	102592661	102730576	WBGene00022278	rcor-1	ortholog_many2many	I	17487	26781	RCOR1	1	18.7629	16.1348
ENSG00000011478	HGNC Symbol	19	45692483	45703989	WBGene00010418	H27A22.1	ortholog_one2many	V	10602458	10605568	QPCTL	1	34.8168	37.3596
ENSG00000125743	HGNC Symbol	19	45687454	45692569	WBGene00004917	snr-4	ortholog_one2one	V	11978518	11979970	SNRPD2	-1	77.1186	77.1186
ENSG00000269547	Clone-based (Ensembl) gene	19	38915404	38949855	WBGene00005662	sars-2	ortholog_one2many	IV	4357631	4359936	AC011455.2	-1	24.1497	32.1995
ENSG00000205593	HGNC Symbol	22	50309030	50327060	WBGene00018777	F53H1.3	ortholog_one2many	IV	1329162	1339376	DENND6B	-1	39.1453	41.3357
ENSG00000066084	HGNC Symbol	12	50504985	50748667	WBGene00017885	dip-2	ortholog_one2many	I	4934118	4949332	DIP2B	1	48.9848	44.6501
ENSG00000163754	HGNC Symbol	3	148991341	149027668	WBGene00006863	gyg-1	ortholog_many2many	X	3537641	3540940	GYG1	1	42.2857	34.4988
ENSG00000163754	HGNC Symbol	3	148991341	149027668	WBGene00012020	gyg-2	ortholog_many2many	V	16745080	16746258	GYG1	1	41.4286	48.3333
ENSG00000184967	HGNC Symbol	12	132144448	132152473	WBGene00020601	T20B12.3	ortholog_one2one	III	7382115	7383906	NOC4L	1	23.4496	24.0079
ENSG00000151746	HGNC Symbol	12	32106835	32383633	WBGene00016611	bicd-1	ortholog_one2many	IV	6565384	6572338	BICD1	1	23.0769	30.5292
ENSG00000176083	HGNC Symbol	1	26361634	26374522	WBGene00003847	blmp-1	ortholog_one2many	I	10409302	10414707	ZNF683	-1	21.9466	14.0759
ENSG00000184408	HGNC Symbol	7	120273668	120750331	WBGene00022240	shl-1	ortholog_one2many	IV	6378594	6384070	KCND2	1	54.2857	59.1696
ENSG00000174840	HGNC Symbol	3	57556276	57566844	WBGene00011268	pde-12	ortholog_one2one	III	10840023	10845020	PDE12	1	18.3908	17.8344
ENSG00000143933	HGNC Symbol	2	47160082	47176601	WBGene00000552	cmd-1	ortholog_one2many	V	1156271	1158174	CALM2	-1	97.9866	97.9866
ENSG00000130943	HGNC Symbol	22	46255663	46263355	WBGene00003058	lov-1	ortholog_one2many	II	10109279	10121825	PKDREJ	-1	12.8717	8.83069
ENSG00000198951	HGNC Symbol	22	42058354	42070842	WBGene00011095	gana-1	ortholog_one2many	V	12087234	12088931	NAGA	-1	42.0925	38.3592
ENSG00000135111	HGNC Symbol	12	114670254	114684164	WBGene00006543	tbx-2	ortholog_one2many	III	5130923	5136319	TBX3	-1	26.1104	45.8629
ENSG00000131914	HGNC Symbol	1	26410778	26429722	WBGene00003014	lin-28	ortholog_one2many	I	8407802	8410804	LIN28A	1	32.0574	29.5154
ENSG00000183066	HGNC Symbol	22	41998725	42058456	WBGene00015955	C18B2.4	ortholog_many2many	X	3604291	3605741	WBP2NL	1	22.3301	23.3108
ENSG00000183066	HGNC Symbol	22	41998725	42058456	WBGene00008404	D2013.6	ortholog_many2many	II	9329757	9331510	WBP2NL	1	18.7702	24.6809
ENSG00000176102	HGNC Symbol	11	33077188	33162371	WBGene00006307	suf-1	ortholog_one2one	II	8603846	8606744	CSTF3	-1	49.9303	48.7075
ENSG00000182899	HGNC Symbol	3	197949980	197956610	WBGene00004447	rpl-33	ortholog_one2one	II	7105556	7106462	RPL35A	1	57.2727	50.8064
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000509	cka-1	ortholog_many2many	IV	9731737	9737621	CHKA	-1	30.6346	29.5359
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000512	ckb-2	ortholog_many2many	III	4367832	4370160	CHKA	-1	18.8184	23.3062
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000510	cka-2	ortholog_many2many	X	4286737	4291494	CHKA	-1	33.0416	35.1981
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000514	ckb-4	ortholog_many2many	V	2106398	2109418	CHKA	-1	21.4442	25.7218
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000513	ckb-3	ortholog_many2many	III	4370885	4372820	CHKA	-1	18.8184	23.3696
ENSG00000110721	HGNC Symbol	11	68052859	68121444	WBGene00000511	ckb-1	ortholog_many2many	III	4365285	4367469	CHKA	-1	20.7877	25.6065
ENSG00000163064	HGNC Symbol	2	118842171	118847678	WBGene00000439	ceh-16	ortholog_one2many	III	8622658	8626312	EN1	-1	19.898	41.7112
ENSG00000068724	HGNC Symbol	2	46916157	47076137	WBGene00021444	ttc-7	ortholog_one2many	III	1860429	1877514	TTC7A	1	25.3968	23.069
ENSG00000197912	HGNC Symbol	16	89490719	89557768	WBGene00021425	ppgn-1	ortholog_one2many	IV	2333837	2348912	SPG7	1	41.2579	43.909
ENSG00000197912	HGNC Symbol	16	89490719	89557768	WBGene00022429	Y108F1.1	ortholog_one2many	X	274498	277897	SPG7	1	14.4654	48.3193
ENSG00000197912	HGNC Symbol	16	89490719	89557768	WBGene00021615	Y47C4A.1	ortholog_one2many	X	283125	286524	SPG7	1	14.4654	48.3193
ENSG00000176148	HGNC Symbol	11	33039417	33105943	WBGene00010875	M05D6.2	ortholog_one2many	II	8468109	8470162	TCP11L1	1	27.5049	26.8714
ENSG00000117385	HGNC Symbol	1	42746335	42767084	WBGene00013531	Y73F8A.26	ortholog_one2many	IV	15473660	15477512	P3H1	-1	14.4279	24.3697
ENSG00000175110	HGNC Symbol	3	139005806	139357223	WBGene00007564	mrps-22	ortholog_one2one	II	10582618	10584236	MRPS22	1	26.6667	22.9665
ENSG00000143382	HGNC Symbol	1	150549369	150560937	WBGene00009958	madd-4	ortholog_one2many	I	8931035	8942287	ADAMTSL4	1	17.2288	18.0861
ENSG00000114770	HGNC Symbol	3	183919934	184018015	WBGene00003411	mrp-5	ortholog_one2many	X	14938502	14946317	ABCC5	-1	33.1246	33.3567
ENSG00000166148	HGNC Symbol	12	63142759	63150942	WBGene00008808	ntr-2	ortholog_many2many	X	14925031	14928934	AVPR1A	-1	21.5311	22.6131
ENSG00000166148	HGNC Symbol	12	63142759	63150942	WBGene00011582	ntr-1	ortholog_many2many	I	12621171	12623084	AVPR1A	-1	21.7703	24.0106
ENSG00000092820	HGNC Symbol	6	158765741	158819412	WBGene00001333	erm-1	ortholog_one2many	I	5284062	5291604	EZR	-1	54.6075	56.7376
ENSG00000206527	HGNC Symbol	3	123490820	123585185	WBGene00020517	hpo-8	ortholog_one2many	V	6839256	6840254	HACD2	-1	38.189	44.4954
ENSG00000128563	HGNC Symbol	7	102363872	102426676	WBGene00018132	F37A4.2	ortholog_one2one	III	6722454	6723284	PRKRIP1	1	34.7826	33.8624
ENSG00000133216	HGNC Symbol	1	22710839	22921500	WBGene00006868	vab-1	ortholog_one2many	II	4572000	4590970	EPHB2	1	32.6066	30.6595
ENSG00000184432	HGNC Symbol	3	139355600	139389732	WBGene00270321	Y41C4A.32	ortholog_one2one	III	11721706	11723602	COPB2	-1	14.6799	45.7045
ENSG00000075234	HGNC Symbol	22	46267961	46294008	WBGene00013215	Y54G11A.4	ortholog_one2many	II	14292824	14296055	TTC38	1	34.5416	35.2174
ENSG00000075234	HGNC Symbol	22	46267961	46294008	WBGene00013216	Y54G11A.7	ortholog_one2many	II	14297305	14299633	TTC38	1	36.4606	36.6167
ENSG00000115694	HGNC Symbol	2	241492674	241509730	WBGene00001526	gck-1	ortholog_one2many	V	8947799	8956294	STK25	-1	59.6244	31.6314
ENSG00000241878	HGNC Symbol	22	31618491	31662432	WBGene00015159	psd-1	ortholog_one2one	III	7268414	7275396	PISD	-1	31.4667	31.2997
ENSG00000180398	HGNC Symbol	2	46901870	46941855	WBGene00010075	F55A11.1	ortholog_one2many	V	11763140	11764382	MCFD2	-1	39.0411	30.6452
ENSG00000180398	HGNC Symbol	2	46901870	46941855	WBGene00011439	T04F3.4	ortholog_one2many	V	11761893	11763152	MCFD2	-1	28.0822	32.2835
ENSG00000231738	HGNC Symbol	12	85014311	85036277	WBGene00006634	tsp-8	ortholog_one2many	X	14726626	14729482	TSPAN19	-1	18.5484	16.3121
ENSG00000164961	HGNC Symbol	8	125024260	125091840	WBGene00020259	T05E7.3	ortholog_one2one	I	6188157	6192632	WASHC5	-1	20.7075	24.0722
ENSG00000117114	HGNC Symbol	1	81306160	81992436	WBGene00002252	lat-2	ortholog_many2many	II	4359082	4368332	ADGRL2	1	21.2571	22.4963
ENSG00000117114	HGNC Symbol	1	81306160	81992436	WBGene00002251	lat-1	ortholog_many2many	II	8896841	8908666	ADGRL2	1	18.2203	25.4438
ENSG00000146733	HGNC Symbol	7	56011051	56051604	WBGene00013379	Y62E10A.13	ortholog_one2one	IV	13389146	13398799	PSPH	-1	51.1111	40.0697
ENSG00000116774	HGNC Symbol	1	113979391	114035572	WBGene00006845	unc-122	ortholog_many2many	I	14872112	14875378	OLFML3	1	16.0099	11.4437
ENSG00000116774	HGNC Symbol	1	113979391	114035572	WBGene00000583	cof-2	ortholog_many2many	I	6250475	6252834	OLFML3	1	14.7783	12.3457
ENSG00000143457	HGNC Symbol	1	150646225	150697144	WBGene00021644	Y47G6A.18	ortholog_one2many	I	3508397	3512735	GOLPH3L	-1	55.7895	56.7857
ENSG00000185621	HGNC Symbol	3	197960200	198043720	WBGene00012796	Y43F4A.1	ortholog_one2many	III	13223072	13229465	LMLN	1	35.5491	37.1041
ENSG00000134216	HGNC Symbol	1	111290862	111320566	WBGene00000503	cht-1	ortholog_one2many	X	3397613	3400017	CHIA	1	39.0756	30.1459
ENSG00000156269	HGNC Symbol	4	79225694	79326050	WBGene00000923	daf-31	ortholog_one2many	IV	8290273	8291496	NAA11	-1	52.4017	65.9341
